DATE,USCONS_PCH
2021-04-01,0.14875
2021-05-01,-0.16203
2021-06-01,0.08115
2021-07-01,0.20270
2021-08-01,0.21578
2021-09-01,0.55174
2021-10-01,0.56210
2021-11-01,0.61219
2021-12-01,0.44974
2022-01-01,-0.05267
2022-02-01,1.04084
2022-03-01,0.29991
2022-04-01,0.07800
2022-05-01,0.49363
2022-06-01,0.16805
2022-07-01,0.30972
2022-08-01,0.10292
2022-09-01,0.20563
2022-10-01,0.21803
2022-11-01,0.24315
2022-12-01,0.33193
2023-01-01,0.33083
2023-02-01,0.17755
2023-03-01,-0.11394
2023-04-01,0.13942
2023-05-01,0.31642
2023-06-01,0.36588
2023-07-01,0.15085
2023-08-01,0.37655
2023-09-01,0.16256
2023-10-01,0.28714
